상권명,다중지역정보,업종정보,점포수,위도,경도
구성초등학교,"{""type"":""Polygon"",""coordinates"":[[[127.116117419,37.295937615],[127.116162953,37.295781109],[127.116587028,37.295625452],[127.116469359,37.29540944],[127.11654505,37.29523598],[127.116727111,37.295099075],[127.116530938,37.294905005],[127.115487576,37.294910741],[127.114799566,37.294910674],[127.114402278,37.294855613],[127.114042641,37.294805899],[127.113793148,37.29477137],[127.11378365,37.294769891],[127.113347443,37.294727488],[127.113240064,37.294717111],[127.113001717,37.294693926],[127.112601937,37.294791463],[127.112448529,37.294828892],[127.110981783,37.295290974],[127.110004182,37.295974245],[127.109977881,37.296116819],[127.10997505,37.296129165],[127.10994056,37.296254746],[127.109920725,37.296298702],[127.109832038,37.296436135],[127.110419463,37.296681477],[127.110521989,37.297164893],[127.111127867,37.297617167],[127.111607613,37.297465044],[127.111936961,37.297153256],[127.112233877,37.296871636],[127.112555159,37.296495865],[127.112614497,37.29618487],[127.112642519,37.295598807],[127.112739945,37.295375953],[127.113182818,37.295451354],[127.113012398,37.29579728],[127.113282881,37.295875616],[127.113855982,37.296358324],[127.11404865,37.296520271],[127.113852953,37.296677063],[127.114231196,37.296974716],[127.113871262,37.297250519],[127.114039644,37.29734949],[127.115010152,37.296343012],[127.115221492,37.29641555],[127.115175882,37.29648786],[127.115755951,37.296767866],[127.116540711,37.296875372],[127.116795994,37.296837288],[127.117216165,37.296805219],[127.11775437,37.296867515],[127.11806678,37.296555021],[127.11797919,37.296388794],[127.117222723,37.296514947],[127.117046304,37.296470269],[127.116969654,37.296363537],[127.116796349,37.296021803],[127.116388931,37.29622996],[127.116207724,37.296233115],[127.116117419,37.295937615]]]}",두발 미용업/일반 교과학원/한식 면 요리 전문점/치킨 전문점/김밥 및 기타 간이 음식점업/시계 및 귀금속 소매업/한식 일반 음식점업/한식 육류 요리 전문점/피자  햄버거  샌드위치 및 유사 음식점업/한식 해산물 요리 전문점/기타 음ㆍ식료품 위주 종합 소매업/가정용 직물제품 소매업/의약품 및 의료용품 소매업/안경 및 렌즈 소매업/커피 전문점/부동산 중개 및 대리업/방문 교육학원/태권도 및 무술 교육기관/음악학원/미술학원/일반의원/치과의원/한의원/체력 단련시설 운영업/골프 연습장 운영업/노래 연습장 운영업/자동차 전문 수리업/가정용 세탁업,37,37.29615702770950,127.11129147294400
수정로120번길,"{""type"":""Polygon"",""coordinates"":[[[127.134963078,37.437816882],[127.134744865,37.437753339],[127.134605308,37.438066567],[127.134396481,37.438507129],[127.13417093,37.438436773],[127.133949885,37.43892624],[127.133751405,37.438866218],[127.133909274,37.438527219],[127.133978101,37.438376793],[127.134173857,37.4379367],[127.133998581,37.437885859],[127.134306637,37.437230329],[127.134484403,37.437279498],[127.134553079,37.437142024],[127.134744886,37.436706969],[127.134575248,37.436657297],[127.134369372,37.436596096],[127.134151118,37.436536493],[127.134077454,37.436514846],[127.134071029,37.436528779],[127.134070027,37.436530947],[127.134068587,37.43653407],[127.13350618,37.437753562],[127.133502073,37.437762458],[127.133379152,37.438029004],[127.133378814,37.438029733],[127.133213015,37.438384521],[127.132933817,37.438981936],[127.132930426,37.438989197],[127.132929582,37.438991004],[127.132928358,37.438993624],[127.133225639,37.439075811],[127.132951261,37.439657246],[127.13265496,37.440332568],[127.132837625,37.440386281],[127.133028288,37.440450753],[127.133204301,37.440499348],[127.133437659,37.440566947],[127.133659705,37.440635589],[127.133851524,37.440231511],[127.134088021,37.440302511],[127.133902115,37.440714517],[127.134024233,37.440751453],[127.134214722,37.440340043],[127.134428691,37.440404683],[127.134623896,37.439982043],[127.134853324,37.440053553],[127.135045374,37.439628637],[127.135048989,37.439621342],[127.13520103,37.439297504],[127.135422267,37.438821552],[127.135194581,37.438752309],[127.135401643,37.43831117],[127.135180316,37.438241973],[127.135063851,37.438205079],[127.135215798,37.437889125],[127.134963078,37.437816882]]]}",여관업/부동산 중개 및 대리업/두발 미용업/한식 일반 음식점업/기타 주점업/한식 육류 요리 전문점/중식 음식점업/기타 식료품 소매업/기타 음ㆍ식료품 위주 종합 소매업/여자용 겉옷 소매업/체인화 편의점/김밥 및 기타 간이 음식점업/채소  과실 및 뿌리작물 소매업/육류 소매업,129,37.43863963861360,127.13466339748100
태평역_5번출구,"{""type"":""Polygon"",""coordinates"":[[[127.128087953,37.436842933],[127.127332436,37.436760691],[127.127418432,37.43631811],[127.127265004,37.436271926],[127.127062547,37.436525549],[127.126753747,37.436935512],[127.126335229,37.437518683],[127.126119406,37.43782796],[127.125981519,37.438055026],[127.12599597,37.438209441],[127.125976027,37.438375992],[127.125939637,37.438681524],[127.125936498,37.438708533],[127.125032659,37.438691719],[127.125025992,37.43902225],[127.125611991,37.438919015],[127.125616777,37.438993388],[127.125915056,37.439095272],[127.125892061,37.439315903],[127.126011282,37.439311801],[127.126024294,37.439311652],[127.126398751,37.43931597],[127.126400958,37.439316004],[127.126834735,37.439324383],[127.126839284,37.439324661],[127.126861164,37.439213198],[127.127203609,37.439252329],[127.127180663,37.439367787],[127.127434288,37.439437842],[127.127470301,37.439447789],[127.127587136,37.439479374],[127.127636386,37.439250542],[127.127686248,37.439018903],[127.12768651,37.43901771],[127.127701875,37.438949099],[127.127714282,37.438893699],[127.127759561,37.438691589],[127.127821776,37.438335664],[127.12735297,37.438248736],[127.127403015,37.4380137],[127.127864678,37.438065935],[127.127913305,37.437745935],[127.127914356,37.437739884],[127.127916599,37.437728398],[127.127917237,37.437725133],[127.128055837,37.437015498],[127.128086447,37.436851026],[127.128087953,37.436842933]]]}",두발 미용업/일반 교과학원/부동산 중개 및 대리업/한식 일반 음식점업/치킨 전문점/노래 연습장 운영업/육류 소매업/체인화 편의점/슈퍼마켓/통신기기 소매업/게임용구  인형 및 장난감 소매업/의약품 및 의료용품 소매업/한식 육류 요리 전문점/한식 해산물 요리 전문점/제과점업/김밥 및 기타 간이 음식점업/기타 스포츠 교육기관/음악학원/치과의원/한의원/체력 단련시설 운영업/골프 연습장 운영업/자동차 전문 수리업/기타 미용업,86,37.43792060267090,127.12697473388200
회안대로_1,"{""type"":""Polygon"",""coordinates"":[[[127.24466263,37.363300256],[127.244980441,37.363443389],[127.245181676,37.363111268],[127.245226156,37.363037774],[127.245137213,37.362971315],[127.245232771,37.362799591],[127.246134961,37.363140989],[127.246870118,37.363428944],[127.246938296,37.363455284],[127.247016927,37.363353284],[127.247236725,37.363069148],[127.247625177,37.362924062],[127.24742769,37.362491974],[127.24747433,37.36170607],[127.247648563,37.361533153],[127.247449765,37.361056002],[127.247420344,37.360680737],[127.247576567,37.360544876],[127.247853146,37.359942338],[127.248471438,37.359918665],[127.248794511,37.35999618],[127.248480674,37.359664166],[127.24843857,37.359463969],[127.249402157,37.358630373],[127.249849574,37.357731552],[127.250532787,37.357207047],[127.250912574,37.356793821],[127.249663582,37.356391129],[127.249734565,37.356276689],[127.251421305,37.355186898],[127.251406436,37.355049951],[127.251219513,37.354833072],[127.249470758,37.35442553],[127.248964751,37.354371638],[127.248734254,37.354599955],[127.248383662,37.354560562],[127.248046474,37.354663175],[127.247317753,37.355188503],[127.247156365,37.355454426],[127.246920603,37.355643847],[127.246518541,37.355589134],[127.246530201,37.355609924],[127.246539974,37.355651654],[127.24655575,37.355840013],[127.246610438,37.356490434],[127.246629267,37.356612987],[127.246630469,37.356623227],[127.246653788,37.356909407],[127.246654172,37.356926255],[127.246652692,37.356967578],[127.246647033,37.357125606],[127.246646764,37.357130641],[127.246615242,37.357575134],[127.246613693,37.357588342],[127.246539651,37.358039789],[127.24653669,37.358053629],[127.246437681,37.358427888],[127.246437091,37.35843005],[127.246387497,37.358606759],[127.246352356,37.358731972],[127.246337901,37.35878347],[127.246335232,37.358792],[127.246239403,37.359069256],[127.246237922,37.359073352],[127.246078803,37.359494586],[127.245888106,37.360003506],[127.245887636,37.360004746],[127.245702978,37.360484948],[127.24549721,37.361034724],[127.24549535,37.361039455],[127.245321418,37.361461466],[127.245241039,37.361730642],[127.245213852,37.361821687],[127.245209339,37.361834638],[127.245145038,37.36199564],[127.245080338,37.362157646],[127.245022601,37.362317545],[127.245014206,37.362340796],[127.244977037,37.362443736],[127.244975182,37.362448614],[127.244810561,37.362860388],[127.24466263,37.363300256]]]}",한식 일반 음식점업/부동산 중개 및 대리업/여자용 겉옷 소매업/두발 미용업/전자상거래 소매업/자동차 전문 수리업/한식 육류 요리 전문점/치킨 전문점/신발 소매업/체인화 편의점/기타 음ㆍ식료품 위주 종합 소매업/기타 스포츠 교육기관/당구장 운영업,11,37.35892773167380,127.24767455797700
대성로151번길,"{""type"":""Polygon"",""coordinates"":[[[127.197653258,37.530938841],[127.197754539,37.530857869],[127.198523899,37.530065081],[127.198176518,37.529717508],[127.198147297,37.52950725],[127.198209978,37.529200187],[127.198555608,37.528619092],[127.198735795,37.528565122],[127.198588326,37.528137808],[127.19931666,37.528105008],[127.199818255,37.528081933],[127.199426604,37.527642268],[127.198797722,37.526308381],[127.198312674,37.526504455],[127.198215404,37.526012154],[127.198613832,37.525881947],[127.198359619,37.525287213],[127.198100344,37.524604028],[127.197758692,37.522734599],[127.197751264,37.522735171],[127.195341348,37.522703245],[127.195340622,37.522703235],[127.193883385,37.522680182],[127.193656585,37.522676596],[127.192157927,37.522679937],[127.192561442,37.523260158],[127.192564603,37.523264866],[127.192669265,37.523426478],[127.1927063,37.523483554],[127.192743008,37.523540209],[127.192747697,37.523547886],[127.193260944,37.524441479],[127.193263191,37.524445522],[127.193282025,37.52448056],[127.193401326,37.524701972],[127.193524286,37.524928381],[127.193561214,37.524996322],[127.193562464,37.524998666],[127.193705483,37.525272337],[127.193705891,37.525273122],[127.193852298,37.525557036],[127.194030267,37.525898779],[127.194247975,37.526303603],[127.194389001,37.526561654],[127.194390217,37.526563921],[127.194391356,37.526566085],[127.194394395,37.526572169],[127.194409175,37.526603394],[127.194428061,37.526643273],[127.19445143,37.526692629],[127.194494322,37.526783392],[127.194552469,37.526906469],[127.194631251,37.527032411],[127.194631705,37.527033141],[127.194654177,37.527069475],[127.194676519,37.527105684],[127.195281897,37.52808481],[127.195331769,37.52816545],[127.19535461,37.528233769],[127.195376678,37.528513347],[127.195376879,37.528513788],[127.195623625,37.528871764],[127.196630845,37.530167689],[127.197217562,37.530683025],[127.197653258,37.530938841]]]}",기타 의복 소매업/부동산 중개 및 대리업/자동차 전문 수리업/여자용 겉옷 소매업/주방용품 및 가정용 유리  요업제품 소매업/화초 및 식물 소매업/전자상거래 소매 중개업/전자상거래 소매업/한식 일반 음식점업/한식 면 요리 전문점/슈퍼마켓/통신기기 소매업/신발 소매업/가구 소매업/게임용구  인형 및 장난감 소매업/애완용 동물 및 관련용품 소매업/중식 음식점업/커피 전문점/기타 스포츠 교육기관/가전제품 수리업,35,37.52684118363320,127.19678526275500
회안대로_2,"{""type"":""Polygon"",""coordinates"":[[[127.246201698,37.356947859],[127.244442807,37.356814136],[127.244093617,37.356880617],[127.243559994,37.357293403],[127.24307392,37.356832996],[127.242792607,37.356955099],[127.242029762,37.356973313],[127.241460047,37.357606625],[127.240619893,37.357489172],[127.240339001,37.358024646],[127.239822715,37.358008946],[127.239014279,37.359329485],[127.239761051,37.360910059],[127.240091617,37.363046634],[127.240059413,37.364703869],[127.240165681,37.366028024],[127.239597398,37.367526381],[127.239430368,37.369047022],[127.239737979,37.370452441],[127.240860699,37.370132431],[127.241546169,37.369997715],[127.241839695,37.369999594],[127.24229055,37.370074565],[127.243809576,37.370588878],[127.24420444,37.37061843],[127.244676854,37.370592069],[127.244615413,37.370080967],[127.244569726,37.369714545],[127.244498738,37.369209059],[127.244498547,37.369207647],[127.244426435,37.368654809],[127.244426232,37.368653184],[127.244367544,37.368159876],[127.244278339,37.367421136],[127.244217387,37.366959526],[127.244217133,37.366957495],[127.244169824,37.366555584],[127.244107787,37.366166182],[127.244107053,37.366160972],[127.24407301,37.365882843],[127.244050885,37.365702086],[127.2440507,37.365700498],[127.244017421,37.365401264],[127.244017282,37.365399958],[127.244009214,37.365320882],[127.243985604,37.365089499],[127.243984885,37.365077602],[127.243978962,37.364765723],[127.243979145,37.364755251],[127.243982121,37.364699999],[127.244000984,37.364349753],[127.244001489,37.364343182],[127.244005549,37.364302496],[127.244011369,37.364244165],[127.24402312,37.364126417],[127.244023832,37.364120508],[127.244049363,37.363940021],[127.244071867,37.36378093],[127.244075158,37.363764509],[127.244197509,37.363294211],[127.244200513,37.363284129],[127.244375816,37.362762884],[127.244378782,37.362754821],[127.244544034,37.362341472],[127.24458032,37.36224098],[127.244588716,37.362217729],[127.244647328,37.362055406],[127.244649163,37.36205058],[127.244714824,37.36188617],[127.244776567,37.361731576],[127.244801801,37.361647074],[127.244884376,37.361370545],[127.244889531,37.361356011],[127.245065455,37.360929175],[127.245270579,37.360381127],[127.24527107,37.360379832],[127.245455742,37.359899602],[127.245646281,37.359391111],[127.245646425,37.359390727],[127.245804847,37.358971342],[127.245898503,37.35870038],[127.245911752,37.358653174],[127.245946894,37.358527966],[127.245996186,37.358352336],[127.246093092,37.357986034],[127.246164915,37.357548135],[127.246195791,37.357112786],[127.246201361,37.356957277],[127.246201698,37.356947859]]]}",자동차 전문 수리업/노래 연습장 운영업/체인화 편의점/두발 미용업/부동산 중개 및 대리업/제과점업/한식 육류 요리 전문점/전자상거래 소매업/일반 교과학원/육류 소매업/문구용품 및 회화용품 소매업/의약품 및 의료용품 소매업/시계 및 귀금속 소매업/전자상거래 소매 중개업/한식 일반 음식점업/서양식 음식점업/치킨 전문점/기타 주점업/커피 전문점/일반의원/가전제품 수리업/기타 미용업/채소  과실 및 뿌리작물 소매업/페인트  창호 및 기타 건설자재 소매업,43,37.36353352681150,127.24210920471400
매송고색로,"{""type"":""Polygon"",""coordinates"":[[[126.980029533,37.250784504],[126.979893002,37.251056922],[126.980421214,37.251200571],[126.980739887,37.25128807],[126.980806142,37.251312011],[126.980734172,37.251529625],[126.980655944,37.251767178],[126.980592457,37.251956424],[126.980798195,37.252033659],[126.981487704,37.25220713],[126.981307951,37.252450288],[126.980959701,37.252387598],[126.980827508,37.252682695],[126.981042835,37.252728191],[126.982185733,37.252979049],[126.98225941,37.252843955],[126.98229731,37.2528547],[126.982631376,37.252950773],[126.983142679,37.253122143],[126.983285358,37.253147583],[126.983476405,37.25284989],[126.983617534,37.252885736],[126.983808469,37.252438799],[126.983880427,37.252405344],[126.983335674,37.251786807],[126.983313107,37.251706943],[126.983287444,37.251700182],[126.983213439,37.251680925],[126.982976919,37.251619375],[126.982970103,37.251617504],[126.982938262,37.251608309],[126.982936504,37.251607794],[126.982746156,37.251551387],[126.982116455,37.25136481],[126.981969651,37.251321315],[126.981961388,37.251319092],[126.980895679,37.251032382],[126.980889815,37.251030732],[126.98084963,37.251018925],[126.980840311,37.251016193],[126.980674356,37.250967461],[126.980513595,37.250923024],[126.980319108,37.25086926],[126.980315248,37.250868162],[126.980109259,37.250807846],[126.980029533,37.250784504]]]}",한식 일반 음식점업/커피 전문점/두발 미용업/기타 스포츠 교육기관/기타 주점업/기타 음ㆍ식료품 위주 종합 소매업/체인화 편의점/치과의원/치킨 전문점/화장품  비누 및 방향제 소매업/전자상거래 소매업/여관업/채소  과실 및 뿌리작물 소매업/한식 육류 요리 전문점/건강 보조식품 소매업/중식 음식점업/통신기기 소매업/생맥주 전문점/부동산 중개 및 대리업/기타 의복 소매업/한의원/당구장 운영업/철물 및 난방용구 소매업/자동차 전문 수리업/벽지  마루덮개 및 장판류 소매업/육류 소매업/기타 미용업,42,37.25199526318490,126.98210738444700
덕영대로1126번길,"{""type"":""Polygon"",""coordinates"":[[[127.016671193,37.247331311],[127.016656784,37.246894444],[127.016395444,37.24689284],[127.016137982,37.246890985],[127.016138383,37.246914361],[127.016148329,37.247314866],[127.016147569,37.24753619],[127.016014466,37.247532833],[127.015889001,37.248107646],[127.015816487,37.248293739],[127.01526945,37.248239638],[127.015265377,37.24825481],[127.015218034,37.24842844],[127.015182867,37.248613716],[127.015152228,37.248830006],[127.015149103,37.248853633],[127.015122353,37.249041795],[127.01509324,37.249249086],[127.014410486,37.249391811],[127.014085022,37.248930394],[127.014052347,37.248734416],[127.014013432,37.248503751],[127.013867181,37.248292468],[127.013741716,37.248135142],[127.013631838,37.247998219],[127.0134291,37.247943247],[127.013419293,37.247965427],[127.013418903,37.247966302],[127.013405543,37.247996029],[127.013328429,37.248167547],[127.013272294,37.24829488],[127.013003496,37.248904652],[127.012991936,37.248941629],[127.012961462,37.249039097],[127.012955474,37.249055067],[127.01294998,37.249067584],[127.01293157,37.249109581],[127.012919391,37.249137362],[127.012915598,37.249145394],[127.012831288,37.24931184],[127.012782488,37.249465817],[127.012759055,37.249549283],[127.012753179,37.249566276],[127.012738952,37.249600751],[127.012609389,37.249914603],[127.01257093,37.250007768],[127.012553532,37.250051148],[127.012552968,37.250052533],[127.012480688,37.250227862],[127.012299879,37.250666465],[127.012594457,37.250703279],[127.012839178,37.250629568],[127.013199669,37.251241368],[127.012572141,37.251604747],[127.012473643,37.251999844],[127.012387038,37.252347169],[127.01363707,37.251655286],[127.013966677,37.251474148],[127.014427841,37.251307338],[127.014465248,37.251383398],[127.014039531,37.251614423],[127.014240795,37.252066733],[127.014251743,37.252060036],[127.014287796,37.252037739],[127.014366916,37.251988813],[127.014383585,37.251979436],[127.014419579,37.251961076],[127.014741862,37.251784088],[127.014743199,37.251783359],[127.015751779,37.251237945],[127.015880227,37.251168494],[127.015993373,37.251106517],[127.015993981,37.251106185],[127.016150173,37.251021228],[127.016618012,37.250766727],[127.01661886,37.250766267],[127.016804836,37.250666082],[127.017024933,37.250547522],[127.017027083,37.250546377],[127.017107043,37.250504362],[127.017163648,37.250474617],[127.017050513,37.250050122],[127.016528644,37.250335553],[127.016457879,37.250224019],[127.016203462,37.249824019],[127.015712595,37.249051484],[127.016135329,37.24891307],[127.016716542,37.248722748],[127.017264497,37.248543412],[127.017052408,37.247351367],[127.016671193,37.247331311]]]}",두발 미용업/한식 일반 음식점업/한식 육류 요리 전문점/커피 전문점/일반 교과학원/부동산 중개 및 대리업/체인화 편의점/김밥 및 기타 간이 음식점업/치킨 전문점/슈퍼마켓/육류 소매업/기타 주점업/음악학원/노래 연습장 운영업/가정용 세탁업,141,37.24971240498070,127.01441259006900
희망로,"{""type"":""Polygon"",""coordinates"":[[[127.158026,37.43292791],[127.15801305,37.433318875],[127.157880335,37.433377064],[127.157809051,37.433530866],[127.15724246,37.433579772],[127.157242076,37.433803348],[127.157240551,37.433971162],[127.157242128,37.434145757],[127.157242658,37.434319217],[127.157410798,37.434314219],[127.157420386,37.435003608],[127.157277705,37.435005409],[127.157178813,37.435006958],[127.157013174,37.435009157],[127.156939012,37.435009756],[127.156737685,37.435013954],[127.156760489,37.435689358],[127.156768267,37.436382113],[127.156476191,37.436385664],[127.156491049,37.43682448],[127.156505434,37.437305531],[127.156172393,37.437308789],[127.156175532,37.437942378],[127.156287852,37.437940363],[127.156297454,37.438595962],[127.156547153,37.438593236],[127.156843489,37.438588589],[127.157123581,37.438583825],[127.157413555,37.438579694],[127.15741568,37.438579146],[127.157689763,37.438574902],[127.157673489,37.43791475],[127.157982342,37.437908934],[127.157981344,37.437901764],[127.157980018,37.43788585],[127.157977691,37.437801684],[127.157972348,37.437693031],[127.157971783,37.437681454],[127.157967371,37.437591584],[127.15796731,37.437590224],[127.157957924,37.437353239],[127.157955765,37.437298694],[127.157955751,37.437298311],[127.157941592,37.436914644],[127.157937755,37.43680811],[127.157922176,37.436375287],[127.157922166,37.436375012],[127.157922111,37.436373402],[127.157911895,37.436089577],[127.157904258,37.435895285],[127.157896571,37.435702594],[127.157896565,37.435691286],[127.157897025,37.435679446],[127.157904628,37.435483044],[127.157904788,37.435479836],[127.157913986,37.435329247],[127.157914987,37.435254214],[127.157917404,37.435229773],[127.157936623,37.435126114],[127.157939493,37.435113672],[127.157961193,37.435035183],[127.157964874,37.435023683],[127.157973284,37.435000612],[127.157913727,37.435000923],[127.157900172,37.43453959],[127.158316178,37.434537341],[127.158396533,37.434461615],[127.158398276,37.434459974],[127.15845196,37.434409374],[127.158506122,37.434358332],[127.158519184,37.434347037],[127.158651353,37.434242094],[127.158665801,37.434230624],[127.158796656,37.434126732],[127.158836888,37.434094786],[127.158837605,37.43409422],[127.158865836,37.434072003],[127.159095908,37.433890954],[127.159097442,37.433889759],[127.159441796,37.433623873],[127.159515908,37.433563061],[127.159348169,37.433553376],[127.159330266,37.433551768],[127.159096681,37.433523229],[127.159071589,37.433518989],[127.158808641,37.43346195],[127.158795238,37.433459046],[127.158734714,37.433437953],[127.158566796,37.433354248],[127.158535927,37.433335759],[127.158491804,37.433304288],[127.158407468,37.433244132],[127.15840045,37.433238907],[127.1582555,37.43312632],[127.15824655,37.433118961],[127.158108651,37.432998928],[127.158090303,37.432983162],[127.158026,37.43292791]]]}",두발 미용업/한식 육류 요리 전문점/부동산 중개 및 대리업/한식 일반 음식점업/김밥 및 기타 간이 음식점업/치과의원/기타 주점업/화장품  비누 및 방향제 소매업/컴퓨터 및 주변장치  소프트웨어 소매업/의약품 및 의료용품 소매업/안경 및 렌즈 소매업/시계 및 귀금속 소매업/전자상거래 소매업/일반 교과학원/일반의원,70,37.43579969873990,127.15733107549100
외삼미로15번길,"{""type"":""Polygon"",""coordinates"":[[[127.050419378,37.196333872],[127.053011907,37.194074523],[127.053368006,37.193999362],[127.053905765,37.193723747],[127.057942143,37.19147551],[127.05588494,37.191351871],[127.053695908,37.190961319],[127.053432916,37.190797022],[127.053334106,37.190337516],[127.053145032,37.190173246],[127.052530697,37.190268871],[127.051433823,37.19019365],[127.050673886,37.190420733],[127.050177039,37.190437313],[127.049007877,37.19020408],[127.04757812,37.190122495],[127.046897428,37.189932602],[127.0467685,37.190561933],[127.046767141,37.190567931],[127.046735411,37.190695594],[127.046728448,37.190716784],[127.04667811,37.190839155],[127.046671962,37.190852343],[127.046581976,37.19102451],[127.046548004,37.191092413],[127.046541073,37.191104877],[127.046538188,37.191109578],[127.046582161,37.191112313],[127.046596566,37.191113582],[127.046670023,37.191121979],[127.046737371,37.191138587],[127.046795009,37.191171032],[127.046837293,37.191216139],[127.046852219,37.191251078],[127.047166431,37.191094633],[127.047595128,37.191348412],[127.047516982,37.191657539],[127.047692031,37.191957153],[127.046428231,37.192924417],[127.046632547,37.193247921],[127.046372607,37.193794096],[127.046475287,37.193914318],[127.046532971,37.194057831],[127.046515046,37.194308025],[127.046438337,37.194474113],[127.046540024,37.194701613],[127.046568393,37.19479702],[127.046715978,37.194929429],[127.046730011,37.194989239],[127.046682918,37.195179501],[127.046664395,37.195477279],[127.046631484,37.195715524],[127.046547457,37.196043751],[127.047784151,37.196147455],[127.049617361,37.195896047],[127.049901106,37.195978011],[127.050407862,37.196325895],[127.050419378,37.196333872]]]}",기타 의복 소매업/셔츠 및 블라우스 소매업/여자용 겉옷 소매업/신발 소매업/남자용 겉옷 소매업/골프 연습장 운영업/한식 일반 음식점업/운동 및 경기용품 소매업/커피 전문점/자동차 전문 수리업,60,37.19308441796870,127.05079372184900
